,X,X.x,collarid,Number_of_fixes,Date_Start,DateStop,Duration,Variogram_inspection,Variogram_inspection_MBB,VariogramInspection_Jared,VariogramNotes_Jared,collartype,Name,giraffeid,duplicate,collarid_2,unit_ID,Attachment,species,subspecies,taxa,utm_zone,epsg,gmt_diff,Country,Park_location,year,Operation,date_collared,sex,age_class,LAST_FIX,failure_class,ID,model,tau_pos_lcl,tau_pos_ucl,tau_vel_lcl,tau_vel_ucl,tau_vel_ml,speed_lcl,speed_ucl,speed_ml,DOF_mean,DOF_area,DOF_speed,X.y,file_name,akde_95_lcl,akde_95_ML,akde_95_ucl,akde_95_DOF_area,akde_95_DOF_bandwidth,akde_50_lcl,akde_50_ML,akde_50_ucl,akde_50_DOF_area,akde_50_DOF_bandwidth,ProtectedArea,temp_mean,temp_sd,ndvi_mean,ndvi_sd,Bare,Closed.Deciduous.Forest,Closed.Evergreen.Forest,ClosedToOpen.herbaceous,ClosedToOpen.SemiDeciduous.Forest,ClosedToOpen.shrubland,Flooded.Forest_ClosedToOpen,Flooded.Grassland,Mosaic.Croplands,Mosaic.ForestShrubland,Mosaic.grassland,Mosaic.Vegetation,Open.Deciduous.Forest,Open.Evergreen.Forest,Rainfed.Croplands,Spare.Vegetation,Urban,Water,habitat,hfp2009_mean,hfp2009_sd,human_density_mean,human_density_sd,woody_mean,woody_sd,cop_bare_mean,cop_bare_sd,cop_tree_mean,cop_tree_sd,cop_shrub_mean,cop_shrub_sd
1,1,1,ST2010-2610,141898,1/25/2017,10/31/2019,1009,bad,bad,0,Problem,IP103,ST2010-2610,ST2010-2610,no,st2010-2610,2610,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Okapuka,2017,Namibia_2017,1/25/2017,female,,10/31/2019,voltage drop,ST2010-2610,OUF anisotropic,1.834063889,3.729206776,9.614916523,16.67906567,12.66364182,13.45606853,16.14316766,14.80041019,10.74758635,15.52204981,116.3774536,19,0,12.08682605,21.35377344,33.21437627,15.52204981,25.13913024,12.08682605,21.35377344,33.21437627,15.52204981,25.13913024,0,23.22501798,6.623967002,0.218229016,0.0662956,0,0,0,0.997434813,0,0,0,0,0,0.000218464,0.001973221,0.000183228,0.000190275,0,0,0,0,0,ClosedToOpen herbaceous,13.54235992,3.154044957,0.430242597,0.178485141,9.472903071,7.297632079,5.954227685,3.991320305,2.41483319,1.958096546,15.48092996,4.625445967
2,2,2,ST2010-2611,25267,1/25/2017,9/1/2017,219,bad,unknown,0,Problem.  Does the start need to be truncated?,IP103,ST2010-2611,ST2010-2611,no,st2010-2611,2611,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Okapuka,2017,Namibia_2017,1/25/2017,female,,12/21/2019,death,ST2010-2611,OUF anisotropic,22.19625021,35.59792727,48.81146354,52.316736,50.53371599,12.549636,12.82824143,12.68894923,17.30825258,27.29567625,7968.186974,20,0,285.5034631,432.1506458,608.70882,27.29567625,45.02001727,285.5034631,432.1506458,608.70882,27.29567625,45.02001727,0,14.57333147,6.900344178,0.274308244,0.096421049,0,0,0,0.337027508,0,0,0,0,0,0.000831189,0.003601821,0.000712448,0.000118741,0,0,3.96E-05,0.657668712,0,Urban,25.99667105,11.44345609,515.7714408,380.801353,128.8004512,84.54546774,1.972018839,3.420613157,0.866624451,1.911922336,8.580361737,13.09456858
3,3,3,ST2010-2719,16498,6/4/2017,10/26/2019,874,good,bad,1,0,IP103,,ST2010-2719,no,st2010-2719,2719,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/4/2017,female,,10/26/2019,voltage drop,ST2010-2719,OUF anisotropic,11.17612804,14.49714801,35.61241192,37.72241964,36.65223522,12.77663013,12.97896581,12.87780343,39.72866434,74.11220249,15560.7408,19,0,252.6856761,321.7418869,399.0137948,74.11220249,169.9371712,252.6856761,321.7418869,399.0137948,74.11220249,169.9371712,0.005576434,27.3669073,6.539841903,0.356127007,0.126436343,0,0,0,0,0,0,0,0,0.091708086,0.00800097,0,0.760880107,0,0,0.004424779,0.134986059,0,0,Mosaic Vegetation,7.643966822,2.275491883,12.89662092,5.208502353,12.51666869,8.027668995,1.028427688,1.839463332,7.947448176,3.378377573,19.6460177,2.8505302
4,4,4,ST2010-2720,288,6/4/2017,6/16/2017,12,bad,,#N/A,#N/A,IP103,,ST2010-2720,no,st2010-2720,2720,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/4/2017,female,,6/16/2017,death,ST2010-2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27.0958042,6.913996728,0.268731944,0.024576629,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0.975694444,0,0,0,0.017361111,0,0,Mosaic Vegetation,7.375142626,2.470149142,9.11235255,0.53245827,13.40625,8.183749673,0.368055556,1.105869849,10.30555556,3.411964556,20.36458333,3.14831892
5,5,5,ST2010-2718,1200,6/5/2017,7/25/2017,50,good,ok,1,0,IP103,,ST2010-2718,no,st2010-2718,2718,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/5/2017,male,,7/25/2017,sudden failure,ST2010-2718,OUF anisotropic,3.827602813,9.166631281,45.40599642,55.91554893,50.3875105,13.0631337,13.84026745,13.45177735,7.459331096,11.68983684,1150.807615,18,0,105.1194739,205.5177326,339.0083942,11.68983684,16.97992417,105.1194739,205.5177326,339.0083942,11.68983684,16.97992417,0,25.38294314,6.729031093,0.291174729,0.034890352,0,0,0,0,0,0,0,0,0.0575,0,0,0.756666667,0,0,0,0.185833333,0,0,Mosaic Vegetation,7.86432022,2.656431846,6.57856614,1.637746393,19.94916667,11.66318743,0.505833333,1.420086797,9.3275,2.837890373,18.30416667,2.689363593
6,6,6,ST2010-2724,1176,6/5/2017,7/24/2017,49,good,good,1,Okay,IP103,,ST2010-2724,no,st2010-2724,2724,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/5/2017,male,,7/24/2017,sudden failure,ST2010-2724,OUF anisotropic,5.91921116,20.70680396,37.06601822,46.07780594,41.32699837,17.01674598,18.02596646,17.52145562,5.110736189,7.668435437,1157.720028,21,0,206.9183108,489.8627507,892.6278352,7.668435437,9.795445254,206.9183108,489.8627507,892.6278352,7.668435437,9.795445254,0.017006803,24.68091993,6.294362937,0.290146939,0.039508012,0,0,0,0,0,0.00085034,0,0,0.027210884,0.027210884,0,0.804421769,0,0,0,0.140306122,0,0,Mosaic Vegetation,8.439352966,2.574431934,9.22447771,2.130055799,15.71088435,11.83545703,0.69047619,1.701897148,10.1462585,3.442023593,19.56972789,3.915955612
7,7,7,ST2010-2721,2544,6/6/2017,9/20/2017,106,good,ok,1,To discuss,IP103,,ST2010-2721,no,st2010-2721,2721,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/6/2017,female,55,9/20/2017,sudden failure,ST2010-2721,OUF anisotropic,7.938749734,18.00383978,32.47561699,37.83728591,35.05408971,14.28239286,14.87624452,14.57936017,7.649554302,12.4507995,2315.19044,20,0,176.5704558,336.9582662,548.3073766,12.4507995,17.83944822,176.5704558,336.9582662,548.3073766,12.4507995,17.83944822,0,23.83870968,5.469923163,0.271316942,0.040182669,0,0,0,0,0,0,0,0,0.051100629,0.005503145,0,0.841981132,0,0,0,0.101415094,0,0,Mosaic Vegetation,6.832439428,1.68534109,11.63147554,3.621861677,12.37617925,7.238615927,0.827437107,1.540544573,8.78577044,3.4381362,19.6120283,2.94690677
8,8,8,ST2010-2726,5232,6/10/2017,1/15/2018,219,good,good,1,0,IP103,giraffe_code1,ST2010-2726,no,st2010-2726,2726,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/10/2017,female,,1/15/2018,fell off,ST2010-2726,OUF anisotropic,7.56877917,12.26946501,39.88181265,44.07438984,41.92572669,13.68707275,14.06791275,13.8775107,15.40536539,26.52644612,5100.589596,23,0,192.8217418,293.7968855,415.6950056,26.52644612,50.03677367,192.8217418,293.7968855,415.6950056,26.52644612,50.03677367,0.155772171,28.21539848,6.696118146,0.301377217,0.196586465,0.047591743,0,0,0.080275229,0,0,0,0,0.060206422,0.612003058,0.000573394,0.166666667,0,0,0,0.032683486,0,0,Mosaic ForestShrubland,8.940560195,3.874580546,15.70212577,4.107650842,16.43405963,14.22460443,3.533065749,5.450078959,1.691131498,2.206283432,20.42392966,6.060797623
9,9,9,ST2010-2725,21065,6/10/2017,2/19/2020,984,good,good,1,0,IP103,,ST2010-2725,no,st2010-2725,2725,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/10/2017,female,,2/19/2020,voltage drop,ST2010-2725,OUF anisotropic,13.47523569,17.64013584,28.41039419,30.06295484,29.22499611,13.2174731,13.42569102,13.32158766,37.30178014,69.4451588,15724.16095,22,0,206.0102401,264.5476231,330.2937533,69.4451588,173.7770762,206.0102401,264.5476231,330.2937533,69.4451588,173.7770762,0,29.73327949,5.791205528,0.314175188,0.150831803,0.033562782,0,0,0.037075718,0,0.002610966,0,0,0.032993117,0.668217422,0.000332305,0.190980299,0,0,0,0.034227391,0,0,Mosaic ForestShrubland,6.974331807,2.073773563,20.82715013,6.304562334,18.19026822,15.22458378,4.858153335,5.77468184,4.364490862,5.802587918,18.49888441,4.323402254
10,10,10,ST2010-2738,31392,7/19/2017,7/14/2021,1456,good,good,1,0,IP103,HNBF060,Present,no,st2010-2738,2738,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Northwest,2017,Namibia_2017,7/19/2017,female,,7/14/2021,replaced,ST2010-2738,OUF anisotropic,2.147459994,2.551208957,25.48933381,26.81608236,26.14429334,16.73260188,16.99017782,16.86139661,305.5504272,585.2246014,16461.46196,3,0,52.79745291,57.35042264,62.08900637,585.2246014,3606.358564,52.79745291,57.35042264,62.08900637,585.2246014,3606.358564,0.779597017,23.88087325,8.584233393,0.108944512,0.019689172,0.839515182,0,0,0.088809214,0,0,0,0,0,0,0,0,0,0,0,0.071675604,0,0,Bare,1.822612011,1.951238983,0.016175698,0.000769607,5.32184674,7.511621823,86.34472473,16.82498689,3.839631921,4.10929682,5.050547358,5.265787385
